country,country_code,version,effective_from,province_code,province_name_fr,province_name_en,is_quebec,smic_multiple,gross_monthly_cad,cpp_qpp_employer_monthly_cad,cpp_qpp_employee_monthly_cad,ei_employer_monthly_cad,ei_employee_monthly_cad,qpip_employer_monthly_cad,qpip_employee_monthly_cad,ontario_eht_monthly_cad,quebec_fss_monthly_cad,workers_comp_monthly_cad,federal_tax_annual_cad,provincial_tax_annual_cad,employee_contributions_monthly_cad,employer_contributions_monthly_cad,employee_contribution_rate,employer_contribution_rate,net_before_income_tax_monthly_cad,income_tax_monthly_cad,net_after_income_tax_monthly_cad,employer_cost_monthly_cad,social_wedge_monthly_cad,total_wedge_after_income_tax_monthly_cad,cost_to_net_ratio,cost_to_net_after_income_tax_ratio,delta_gross_monthly_cad,delta_net_before_income_tax_monthly_cad,delta_net_after_income_tax_monthly_cad,delta_employer_cost_monthly_cad,delta_social_wedge_monthly_cad,delta_total_wedge_after_income_tax_monthly_cad,marginal_net_before_income_tax_rate,marginal_net_after_income_tax_rate,marginal_employer_cost_rate,marginal_social_wedge_rate,marginal_total_wedge_after_income_tax_rate
Canada,CA,2026-01,2026-01-01,AB,Alberta,Alberta,False,0.8,2440.53336,127.857568,127.857568,55.692971,39.780694,0.0,0.0,0.0,0.0,24.405334,1515.183765,360.459294,167.638262,207.955873,0.06868919096493455,0.08520919096493451,2272.895098,156.303588,2116.59151,2648.489233,375.594135,531.897723,1.1652492169497355,1.2512991859411657,,,,,,,,,,,
Canada,CA,2026-01,2026-01-01,AB,Alberta,Alberta,False,0.81,2471.040027,129.672715,129.672715,56.389133,40.277952,0.0,0.0,0.0,0.0,24.7104,1562.550124,387.525785,169.950667,210.772249,0.06877697873079953,0.08529697873079953,2301.08936,162.506326,2138.583034,2681.812276,380.722916,543.229242,1.1654533381827326,1.2540136310790522,30.506667000000107,28.19426199999998,21.991524000000027,33.323043000000325,5.128781000000004,11.331518999999957,0.9242000117548037,0.7208759973680491,1.092320016473783,0.168120004718968,0.3714440191057226
Canada,CA,2026-01,2026-01-01,AB,Alberta,Alberta,False,0.82,2501.546694,131.487862,131.487862,57.085296,40.775211,0.0,0.0,0.0,0.0,25.015467,1609.916484,414.592276,172.263073,213.588624,0.06886262533164345,0.08538262533164345,2329.283621,168.709063,2160.574558,2715.135318,385.851697,554.56076,1.1656525179415385,1.2566728179659372,30.506667000000107,28.194261000000097,21.991523999999572,33.32304199999999,5.128781000000004,11.33151799999996,0.9241999789750875,0.7208759973680342,1.0923199836940518,0.168120004718968,0.3714439863260028
Canada,CA,2026-01,2026-01-01,AB,Alberta,Alberta,False,0.83,2532.053361,133.303008,133.303008,57.781458,41.27247,0.0,0.0,0.0,0.0,25.320534,1657.282843,441.658768,174.575478,216.405,0.06894620815897304,0.08546620815897303,2357.477883,174.911801,2182.566082,2748.458361,390.980478,565.892279,1.165846933518865,1.259278416947338,30.506667000000107,28.19426199999998,21.991524000000027,33.32304299999987,5.128781000000004,11.331519000000071,0.9242000117548037,0.7208759973680491,1.092320016473768,0.168120004718968,0.37144401910572633
Canada,CA,2026-01,2026-01-01,AB,Alberta,Alberta,False,0.84,2562.560028,135.118155,135.118155,58.47762,41.769728,0.0,0.0,0.0,0.0,25.6256,1704.649203,468.725259,176.887883,219.221375,0.06902780091898528,0.08554780091898527,2385.672145,181.114538,2204.557606,2781.781403,396.109259,577.223797,1.166036753826329,1.261832031718769,30.506666999999652,28.19426199999998,21.991524000000027,33.32304199999999,5.128781000000004,11.33151799999996,0.9242000117548175,0.7208759973680599,1.0923199836940682,0.1681200047189705,0.37144398632600834
Canada,CA,2026-01,2026-01-01,AB,Alberta,Alberta,False,0.85,2593.066695,136.933302,136.933302,59.173782,42.266987,0.0,0.0,0.0,0.0,25.930667,1752.015562,495.79175,179.200289,222.037751,0.06910747384935015,0.08562747384935016,2413.866406,187.317276,2226.54913,2815.104446,401.238039,588.555315,1.1662221398839108,1.2643352026172334,30.506667000000107,28.194261000000097,21.991524000000027,33.32304299999987,5.128780000000006,11.33151799999996,0.9241999789750875,0.7208759973680491,1.092320016473768,0.16811997193924816,0.3714439863260028
Canada,CA,2026-01,2026-01-01,AB,Alberta,Alberta,False,0.86,2623.573362,138.748448,138.748448,59.869944,42.764246,0.0,0.0,0.0,0.0,26.235734,1799.381922,522.858241,181.512694,224.854126,0.06918529392086935,0.08570529392086933,2442.060668,193.520014,2248.540654,2848.427488,406.36682,599.886834,1.1664032452755113,1.2667894097195687,30.506667000000107,28.19426199999998,21.991524000000027,33.32304199999999,5.128781000000004,11.331519000000071,0.9242000117548037,0.7208759973680491,1.0923199836940518,0.168120004718968,0.37144401910572633
Canada,CA,2026-01,2026-01-01,AB,Alberta,Alberta,False,0.87,2654.080029,140.563595,140.563595,60.566106,43.261504,0.0,0.0,0.0,0.0,26.5408,1846.748282,549.924732,183.8251,227.670502,0.06926132502522715,0.08578132502522715,2470.254929,199.722751,2270.532178,2881.750531,411.495601,611.218352,1.1665802165733112,1.2691960757607346,30.506667000000107,28.194261000000097,21.991524000000027,33.323043000000325,5.128781000000004,11.33151799999996,0.9241999789750875,0.7208759973680491,1.092320016473783,0.168120004718968,0.3714439863260028
Canada,CA,2026-01,2026-01-01,AB,Alberta,Alberta,False,0.88,2684.586696,142.378742,142.378742,61.262268,43.758763,0.0,0.0,0.0,0.0,26.845867,1894.114641,576.991223,186.137505,230.486877,0.06933562814994049,0.0858556281499405,2498.449191,205.925489,2292.523702,2915.073573,416.624382,622.549871,1.1667531937333946,1.2715565688841304,30.506666999999652,28.19426199999998,21.991524000000027,33.32304199999999,5.128781000000004,11.331519000000071,0.9242000117548175,0.7208759973680599,1.0923199836940682,0.1681200047189705,0.3714440191057319
Canada,CA,2026-01,2026-01-01,AB,Alberta,Alberta,False,0.89,2715.093363,144.193888,144.193888,61.958431,44.256022,0.0,0.0,0.0,0.0,27.150934,1941.481001,604.057715,188.44991,233.303253,0.0694082615415142,0.08592826154151421,2526.643453,212.128226,2314.515226,2948.396616,421.753163,633.881389,1.1669223104648894,1.2738722052351277,30.506667000000107,28.19426199999998,21.991524000000027,33.32304299999987,5.128780999999947,11.33151799999996,0.9242000117548037,0.7208759973680491,1.092320016473768,0.16812000471896615,0.3714439863260028
